,speaker_name,year,sum_male,sum_female,sum_neutral_female,sum_neutral_male,sum_neutral,ratio_neutral_male,ratio_neutral_female,ratio_male,ratio_female
296,Beth S. Brinkmann,1999,0,0,0,0,0,0,0,0.0,0.0
297,Richard D. Bernstein,1999,0,0,0,0,0,0,0,0.0,0.0
298,Ronald D. Maines,1999,0,0,0,0,0,0,0,0.0,0.0
299,Robert Foster,1999,0,0,0,0,0,0,0,0.0,0.0
300,Jeremiah A. Collins,1999,0,0,0,0,0,0,0,0.0,0.0
301,Barbara D. Underwood,1999,0,0,0,0,0,0,0,0.0,0.0
302,Jeffrey S. Sutton,1999,0,0,0,0,0,0,0,0.0,0.0
303,Theodore B. Olson,1999,0,0,0,0,0,0,0,0.0,0.0
304,Edwin S. Kneedler,1999,0,0,0,0,0,0,0,0.0,0.0
305,"John G. Roberts, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
306,Donald A. Cockrill,1999,0,0,0,0,0,0,0,0.0,0.0
307,Jeffrey P. Minear,1999,0,0,0,0,0,0,0,0.0,0.0
308,Bruce J. Terris,1999,0,0,0,0,0,0,0,0.0,0.0
309,Robert Q. Harris,1999,0,0,0,0,0,0,0,0.0,0.0
310,John J. Gibbons,1999,0,0,0,0,0,0,0,0.0,0.0
311,"Richard P. Hogan, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
312,"Charles T. Frazier, Jr.",1999,0,0,0,0,0,0,0,0.0,0.0
313,M. Carolyn Fuentes,1999,0,0,0,0,0,0,0,0.0,0.0
314,Jeffrey A. Lamken,1999,0,0,0,0,0,0,0,0.0,0.0
315,Robert A. Graci,1999,0,0,0,0,0,0,0,0.0,0.0
316,Robert A. Graci,1999,0,0,0,0,0,0,0,0.0,0.0
317,James B. Lieber,1999,0,0,0,0,0,0,0,0.0,0.0
318,James B. Lieber,1999,0,0,0,0,0,0,0,0.0,0.0
319,Sarah H. Bohr,1999,0,0,0,0,0,0,0,0.0,0.0
320,Malcolm L. Stewart,1999,0,0,0,0,0,0,0,0.0,0.0
321,Jeremiah W. Nixon,1999,0,0,0,0,0,0,0,0.0,0.0
322,D. Bruce La Pierre,1999,0,0,0,0,0,0,0,0.0,0.0
323,Seth P. Waxman,1999,0,0,0,0,0,0,0,0.0,0.0
324,Benjamin L. Coleman,1999,0,0,0,0,0,0,0,0.0,0.0
325,Barbara B. McDowell,1999,0,0,0,0,0,0,0,0.0,0.0
326,Lisa S. Blatt,1999,0,0,0,0,0,0,0,0.0,0.0
327,Mark L. Horwitz,1999,0,0,0,0,0,0,0,0.0,0.0
328,Christopher S. Brasher,1999,0,0,0,0,0,0,0,0.0,0.0
329,Catherine W. Smith,1999,0,0,0,0,0,0,0,0.0,0.0
330,Mark D. Olson,1999,0,0,0,0,0,0,0,0.0,0.0
331,William D. Coston,1999,0,0,0,0,0,0,0,0.0,0.0
332,Stuart M. Riback,1999,0,0,0,0,0,0,0,0.0,0.0
